"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014",
"Aruba","ABW","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",
"Andorra","AND","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","38","60025","32132","19131","19605","18775","5","","","","6","3","22","30","32","35","42","37","37","6434","3009","16187","16863","",
"Angola","AGO","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11557","11022","11002","10878","10686","10884","9381","9364","10605","13071","12086","12250","12250","13382","13970","13984","13090","12069","12710","14734","15155","16223","23413","23783","",
"Albania","ALB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3000","3000","3000","4720","4925","30","22332","3930","523","292","17","26","51","56","56","77","65","70","76","82","86","93","",
"Arab World","ARB","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4235545","3811595","4000509","4189545","4352945","4337009","4159630","4243164","4373393","4487654","4639943","4942633","5110748","4932948","5039854","5106930","6444738","7513460","7206343","6955072","7077529","6657656","6638911","6788970","",
"United Arab Emirates","ARE","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","433","381","407","464","519","529","501","562","556","163","160","105","104","174","159","209","279","538","677","631","603","",
"Argentina","ARG","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11735","11529","11515","11636","11901","10314","10430","10522","2270","2345","2396","2396","2439","2642","2916","3074","3158","3263","2845","3230","3276","3361","3488","3362","",
"Armenia","ARM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","300000","334000","304039","218950","218950","219000","310012","296216","280591","264337","247550","239289","235235","219550","113714","4566","3953","3607","3296","2918","2854","13732","",
"American Samoa","ASM","Refugee population by country or territory of asylum","SM.POP.REFG","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
